date,close,job_zscore
2025-08-01,202.38,0.0
2025-08-04,203.35,0.0
2025-08-05,202.92,0.0
2025-08-06,213.25,0.0
2025-08-07,220.03,0.0
2025-08-08,229.35,0.0
2025-08-11,227.18,0.0
2025-08-12,229.65,0.0
2025-08-13,233.33,0.0
2025-08-14,232.78,0.0
2025-08-15,231.59,0.0
2025-08-18,230.89,0.0
2025-08-19,230.56,0.0
2025-08-20,226.01,0.0
2025-08-21,224.9,0.0
2025-08-22,227.76,0.0
2025-08-25,227.16,0.0
2025-08-26,229.31,0.0
2025-08-27,230.49,0.0
2025-08-28,232.56,0.0
2025-08-29,232.14,0.0
2025-09-02,229.72,-4.4772150434678215
2025-09-03,238.47,-3.1691447207203347
2025-09-04,239.78,-2.5900450446533405
2025-09-05,239.69,-2.244994432064368
2025-09-08,237.88,-2.009592381171252
2025-09-09,234.35,-1.8358568490953682
2025-09-10,226.79,-1.7008401285415207
2025-09-11,230.03,-1.5920058915157043
2025-09-12,234.07,-1.501850710142503
2025-09-15,236.7,-1.390443574307607
2025-09-16,238.15,-1.2921675470684801
2025-09-17,238.99,-1.204159457879239
2025-09-18,237.88,-1.1243231582167919
2025-09-19,245.5,-1.051076545624483
2025-09-22,256.08,-0.9831920802501791
2025-09-23,254.43,-0.9196919774214288
2025-09-24,252.31,-0.8597765327540223
2025-09-25,256.87,-0.8027729719194958
2025-09-26,255.46,-0.7480970009343906
2025-09-29,254.43,-0.6952217871538136
2025-09-30,254.63,-0.6436503043467944
2025-10-01,255.45,-1.4082604508211427
2025-10-02,257.13,-1.3287430261501367
2025-10-03,258.02,-1.2611294366134491
2025-10-06,256.69,-1.205300543222279
2025-10-07,256.48,-1.1627168065571376
2025-10-08,258.06,-1.1377181332683872
2025-10-09,254.04,-1.1415456218469282
2025-10-10,245.27,-1.208071749248346
2025-10-13,247.66,-1.501850710143031
2025-10-14,247.77,-1.3904435743080656
2025-10-15,249.34,-1.2921675470688732
2025-10-16,247.45,-1.2041594578796257
2025-10-17,252.29,-1.124323158217139
2025-10-20,262.24,-1.0510765456248305
2025-10-21,262.77,-0.9831920802504863
2025-10-22,258.45,-0.9196919774217092
2025-10-23,259.58,-0.8597765327542936
2025-10-24,262.82,-0.8027729719197954
2025-10-27,268.81,-0.7480970009346458
2025-10-28,269.0,-0.6952217871540772
2025-10-29,269.7,-0.6436503043470693
2025-10-30,271.4,-0.5928871321891429
2025-10-31,270.37,-0.5424047368442035
2025-11-03,269.05,-4.225967079686741
2025-11-04,270.04,-3.277798669130227
2025-11-05,270.14,-2.748017663111242
2025-11-06,269.77,-2.396130339651053
2025-11-07,268.47,-2.139575947670125
2025-11-10,269.43,-1.9413651071502092
2025-11-11,275.25,-1.7821869924873466
2025-11-12,273.47,-1.6304396135195565
2025-11-13,272.95,-1.5018507101426375
2025-11-14,272.41,-1.3904435743077332
2025-11-17,267.46,-1.2921675470685816
2025-11-18,267.44,-1.2041594578793273
2025-11-19,268.56,-1.1243231582168696
2025-11-20,266.25,-1.0510765456245708
2025-11-21,271.49,-0.9831920802502577
2025-11-24,275.92,-0.9196919774214999
2025-11-25,276.97,-0.8597765327540767
2025-11-26,277.55,-0.8027729719195622
2025-11-28,278.85,-0.7480970009344511
2025-12-01,283.1,-3.3717714072373988
2025-12-02,286.19,-2.802410466608733
2025-12-03,284.15,-2.4311169798393055
2025-12-04,280.7,-2.1631583948968287
2025-12-05,278.78,-1.9573484360712052
2025-12-08,277.89,-1.7925592745404595
2025-12-09,277.18,-1.6567554093279127
2025-12-10,278.78,-1.5426054167454128
2025-12-11,278.03,-1.4454888248119289
2025-12-12,278.28,-1.362531572365055
2025-12-15,274.11,-1.29216754706854
2025-12-16,274.61,-1.2041594578792842
2025-12-17,271.84,-1.1243231582168338
2025-12-18,272.19,-1.0510765456245372
2025-12-19,273.67,-0.9831920802502214
2025-12-22,270.97,-0.9196919774214694
2025-12-23,272.36,-0.8597765327540565
2025-12-24,273.81,-0.8027729719195288
2025-12-26,273.4,-0.7480970009344277
2025-12-29,273.76,-0.6952217871538501
2025-12-30,273.08,-0.6436503043468303
2025-12-31,271.86,-0.5928871321889227
2026-01-02,271.01,2.6724134791238794
2026-01-05,267.26,2.429308769796859
2026-01-06,262.36,2.2351436399810214
2026-01-07,260.33,2.0749946473563226
2026-01-08,259.04,1.9396315960947972
2026-01-09,259.37,1.8229958218580589
2026-01-12,260.25,1.7209222600195884
2026-01-13,261.05,1.6304396135194552
