date,symbol,close,volume
2021-05-28,GOOGL,117.84,21490800
2021-05-28,MSFT,249.68,18274942
2021-05-28,NVDA,16.24,644536000
2021-06-01,AAPL,124.28,67637118
2021-06-01,AMZN,160.93,48600000
2021-06-01,GOOGL,119.06,23358020
2021-06-01,MSFT,247.4,23213310
2021-06-01,NVDA,16.26,472804000
2021-06-02,AAPL,125.06,59278900
2021-06-02,AMZN,161.7,40290000
2021-06-02,GOOGL,118.53,21162920
2021-06-02,MSFT,247.3,19406705
2021-06-02,NVDA,16.78,594168000
2021-06-03,AAPL,123.54,76229200
2021-06-03,AMZN,159.35,47966000
2021-06-03,GOOGL,117.38,18696000
2021-06-03,MSFT,245.71,25307711
2021-06-03,NVDA,16.97,580008000
2021-06-04,AAPL,125.89,75169343
2021-06-04,AMZN,160.31,44994000
2021-06-04,GOOGL,119.68,24458200
2021-06-04,MSFT,250.79,25281100
2021-06-04,NVDA,17.58,617120280
2021-06-07,AAPL,125.9,71057600
2021-06-07,AMZN,159.9,44316000
2021-06-07,GOOGL,120.12,24120000
2021-06-07,MSFT,253.81,23079200
2021-06-07,NVDA,17.62,575756000
2021-06-08,AAPL,126.74,74403800
2021-06-08,AMZN,163.21,68334000
2021-06-08,GOOGL,119.92,24240000
2021-06-08,MSFT,252.57,22455000
2021-06-08,NVDA,17.46,323848000
2021-06-09,AAPL,127.13,56877937
2021-06-09,AMZN,164.06,49110000
2021-06-09,GOOGL,120.4,17942000
2021-06-09,MSFT,253.59,17937634
2021-06-09,NVDA,17.36,381657480
2021-06-10,AAPL,126.11,71186421
2021-06-10,AMZN,167.48,69530000
2021-06-10,GOOGL,121.76,25907500
2021-06-10,MSFT,257.24,24563619
2021-06-10,NVDA,17.43,287772000
2021-06-11,AAPL,127.35,53522400
2021-06-11,AMZN,167.34,56348000
2021-06-11,GOOGL,121.51,21958140
2021-06-11,MSFT,257.89,18999731
2021-06-11,NVDA,17.83,416308000
2021-06-14,AAPL,130.48,96906500
2021-06-14,AMZN,169.19,51394000
2021-06-14,GOOGL,122.45,22098000
2021-06-14,MSFT,259.89,19150507
2021-06-14,NVDA,18.02,321376000
2021-06-15,AAPL,129.64,62746332
2021-06-15,AMZN,169.16,48524000
2021-06-15,GOOGL,121.42,21562140
2021-06-15,MSFT,258.36,18038931
2021-06-15,NVDA,17.79,243032000
2021-06-16,AAPL,130.15,91815026
2021-06-16,AMZN,170.76,84056000
2021-06-16,GOOGL,120.77,26472000
2021-06-16,MSFT,257.38,27220000
2021-06-16,NVDA,17.81,307124000
2021-06-17,AAPL,131.79,96721700
2021-06-17,AMZN,174.46,102730000
2021-06-17,GOOGL,121.74,25848880
2021-06-17,MSFT,260.9,27565537
2021-06-17,NVDA,18.66,809656000
2021-06-18,AAPL,130.46,108953309
2021-06-18,AMZN,174.35,104954000
2021-06-18,GOOGL,120.11,46116000
2021-06-18,MSFT,259.43,37202217
2021-06-18,NVDA,18.64,968856000
2021-06-21,AAPL,132.3,79663316
2021-06-21,AMZN,172.7,65542000
2021-06-21,GOOGL,121.81,27414000
2021-06-21,MSFT,262.63,26696119
2021-06-21,NVDA,18.43,672384000
2021-06-22,AAPL,133.98,74783618
2021-06-22,AMZN,175.27,66902000
2021-06-22,GOOGL,122.33,22390200
2021-06-22,MSFT,265.51,24694100
2021-06-22,NVDA,18.89,580145560
2021-06-23,AAPL,133.7,60214200
2021-06-23,AMZN,175.19,56266000
2021-06-23,GOOGL,122.13,19154160
2021-06-23,MSFT,265.27,19518700
2021-06-23,NVDA,19.06,332357040
2021-06-24,AAPL,133.41,68711000
2021-06-24,AMZN,172.45,76640000
2021-06-24,GOOGL,122.5,21365140
2021-06-24,MSFT,266.69,21446900
2021-06-24,NVDA,19.21,320924000
2021-06-25,AAPL,133.11,70783746
2021-06-25,AMZN,170.07,78820000
2021-06-25,GOOGL,122.51,34596380
2021-06-25,MSFT,265.02,25611113
2021-06-25,NVDA,19.03,278365920
2021-06-28,AAPL,134.78,62111303
2021-06-28,AMZN,172.19,44856000
2021-06-28,GOOGL,122.54,28526000
2021-06-28,MSFT,268.72,19590024
2021-06-28,NVDA,19.99,495436560
2021-06-29,AAPL,136.33,64556100
2021-06-29,AMZN,172.41,41968000
2021-06-29,GOOGL,122.27,23108720
2021-06-29,MSFT,271.4,19937811
2021-06-29,NVDA,20.03,367633840
2021-06-30,AAPL,136.96,63261400
2021-06-30,AMZN,172.01,48080000
2021-06-30,GOOGL,122.09,24474000
2021-06-30,MSFT,270.9,21656500
2021-06-30,NVDA,20.0,326568000
2021-07-01,AAPL,137.27,52485800
2021-07-01,AMZN,171.65,40742000
2021-07-01,GOOGL,122.44,18112820
2021-07-01,MSFT,271.6,16725323
2021-07-01,NVDA,20.21,480136000
2021-07-02,AAPL,139.96,78945572
2021-07-02,AMZN,175.55,63388000
2021-07-02,GOOGL,125.26,26002180
2021-07-02,MSFT,277.65,26474408
2021-07-02,NVDA,20.49,343396680
2021-07-06,AAPL,142.02,108181800
2021-07-06,AMZN,183.79,134896000
2021-07-06,GOOGL,126.19,26404000
2021-07-06,MSFT,277.66,31565600
2021-07-06,NVDA,20.7,446708000
2021-07-07,AAPL,144.57,104911600
2021-07-07,AMZN,184.83,106562000
2021-07-07,GOOGL,126.47,24060000
2021-07-07,MSFT,279.93,23260031
2021-07-07,NVDA,20.37,418428000
2021-07-08,AAPL,143.24,105575500
2021-07-08,AMZN,186.57,103612000
2021-07-08,GOOGL,125.04,23790000
2021-07-08,MSFT,277.42,24618600
2021-07-08,NVDA,19.9,503300000
2021-07-09,AAPL,145.11,99890800
2021-07-09,AMZN,185.97,74964000
2021-07-09,GOOGL,125.52,18632000
2021-07-09,MSFT,277.94,23916700
2021-07-09,NVDA,20.05,296624000
2021-07-12,AAPL,144.5,76299719
2021-07-12,AMZN,185.93,51432000
2021-07-12,GOOGL,126.98,17668000
2021-07-12,MSFT,277.32,18931700
2021-07-12,NVDA,20.51,321984760
2021-07-13,AAPL,145.64,100827100
2021-07-13,AMZN,183.87,76918000
2021-07-13,GOOGL,127.34,19246940
2021-07-13,MSFT,280.98,26120128
2021-07-13,NVDA,20.25,290708000
