date,job_postings
2025-08-01,160575.2
2026-03-01,150590.6
2026-04-01,157769.1
2026-02-01,147755.41
2025-11-01,146011.71
2025-07-01,163985.0
2025-05-01,155168.04
2025-09-01,154729.95
2025-10-01,152394.24
2025-06-01,162167.6
2025-12-01,134488.15
2026-01-01,153061.37
