symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2026-02-20,258.97,264.75,258.16,264.58,42070500,5.61,2.17,261.615
AAPL,2026-02-19,262.6,264.48,260.05,260.58,30845300,-2.02,-0.76923,261.9275
AAPL,2026-02-18,263.6,266.82,262.45,264.35,34203337,0.75,0.28452,264.305
AAPL,2026-02-17,258.05,266.29,255.54,263.88,58469100,5.83,2.26,260.94
AAPL,2026-02-13,262.01,262.23,255.45,255.78,56290700,-6.23,-2.38,258.8675
AAPL,2026-02-12,275.59,275.72,260.18,261.73,81077229,-13.86,-5.03,268.305
AAPL,2026-02-11,274.7,280.18,274.45,275.5,51931300,0.805,0.29123,276.2075
AAPL,2026-02-10,274.89,275.37,272.94,273.68,34376900,-1.2,-0.44018,274.22
AAPL,2026-02-09,277.9,278.2,271.7,274.62,44623400,-3.28,-1.18,275.605
AAPL,2026-02-06,277.12,280.9,276.93,278.12,50453414,1.0,0.36085,278.2675
AAPL,2026-02-05,278.13,279.5,273.23,275.91,52977441,-2.22,-0.79819,276.6925
AAPL,2026-02-04,272.29,278.95,272.29,276.49,90545710,4.2,1.54,275.005
AAPL,2026-02-03,269.2,271.88,267.61,269.48,64394700,0.28,0.10401,269.5425
AAPL,2026-02-02,260.03,270.49,259.21,270.01,73913425,9.98,3.84,264.935
AAPL,2026-01-30,255.17,261.9,252.18,259.48,92443408,4.32,1.69,257.1825
AAPL,2026-01-29,258.0,259.65,254.41,258.28,67253009,0.28,0.10853,257.585
AAPL,2026-01-28,257.65,258.86,254.51,256.44,41288000,-1.21,-0.46963,256.865
AAPL,2026-01-27,259.17,261.95,258.21,258.27,49648300,-0.9,-0.34726,259.4
AAPL,2026-01-26,251.48,256.56,249.8,255.41,55969234,3.93,1.56,253.3125
AAPL,2026-01-23,247.32,249.41,244.68,248.04,41689000,0.72,0.29112,247.3625
AAPL,2026-01-22,249.2,251.0,248.15,248.35,39708340,-0.85,-0.34109,249.175
AAPL,2026-01-21,248.7,251.56,245.18,247.65,54641725,-1.05,-0.4222,248.2725
AAPL,2026-01-20,252.73,254.79,243.42,246.7,80267517,-6.03,-2.39,249.41
AAPL,2026-01-16,257.9,258.9,254.93,255.53,72142800,-2.37,-0.91896,256.815
AAPL,2026-01-15,260.65,261.04,257.05,258.21,39388600,-2.44,-0.93612,259.2375
AAPL,2026-01-14,259.49,261.82,256.71,259.96,40019421,0.47,0.18112,259.495
AAPL,2026-01-13,258.72,261.81,258.39,261.05,45730847,2.33,0.90059,259.9925
AAPL,2026-01-12,259.16,261.3,256.8,260.25,45263800,1.09,0.42059,259.3775
AAPL,2026-01-09,259.08,260.21,256.22,259.37,39997000,0.295,0.11193,258.72
AAPL,2026-01-08,257.02,259.29,255.7,259.04,50419337,2.02,0.78593,257.7625
AAPL,2026-01-07,263.2,263.68,259.81,260.33,48309804,-2.87,-1.09,261.755
AAPL,2026-01-06,267.0,267.55,262.12,262.36,52352100,-4.64,-1.74,264.7575
AAPL,2026-01-05,270.64,271.51,266.14,267.26,45647200,-3.38,-1.25,268.8875
AAPL,2026-01-02,272.26,277.84,269.0,271.01,37838100,-1.25,-0.45912,272.5275
AAPL,2025-12-31,273.06,273.68,271.75,271.86,27293639,-1.2,-0.43946,272.5875
AAPL,2025-12-30,272.81,274.08,272.28,273.08,22139617,0.27,0.09896998,273.0625
AAPL,2025-12-29,272.69,274.36,272.35,273.76,23715213,1.07,0.39239,273.29
AAPL,2025-12-26,274.16,275.37,272.86,273.4,21521802,-0.76,-0.27721,273.9475
AAPL,2025-12-24,272.34,275.43,272.2,273.81,17910600,1.47,0.53977,273.445
AAPL,2025-12-23,270.84,272.5,269.56,272.36,29642000,1.52,0.56122,271.315
AAPL,2025-12-22,272.86,273.88,270.51,270.97,36571827,-1.89,-0.69266,272.055
AAPL,2025-12-19,272.15,274.6,269.9,273.67,144632048,1.53,0.55852,272.58
AAPL,2025-12-18,273.61,273.63,266.95,272.19,51630721,-1.42,-0.51899,271.595
AAPL,2025-12-17,275.01,276.16,271.64,271.84,50138743,-3.17,-1.15,273.6625
AAPL,2025-12-16,272.82,275.5,271.79,274.61,37648628,1.79,0.65611,273.68
AAPL,2025-12-15,280.15,280.15,272.84,274.11,50409100,-6.04,-2.16,276.8125
AAPL,2025-12-12,277.9,279.22,276.82,278.28,39532900,0.38,0.13674,278.055
AAPL,2025-12-11,279.1,279.59,273.81,278.03,33248000,-1.07,-0.38338,277.6325
AAPL,2025-12-10,277.75,279.75,276.44,278.78,33038318,1.03,0.37084,278.18
AAPL,2025-12-09,278.16,280.03,276.92,277.18,32193300,-0.98,-0.35232,278.0725
AAPL,2025-12-08,278.13,279.67,276.15,277.89,38211832,-0.24,-0.08629058,277.96
AAPL,2025-12-05,280.54,281.14,278.05,278.78,47265845,-1.76,-0.62736,279.6275
